,source,value
688,background,29.2
689,background,51.3
690,background,1.2
691,background,313.0
692,background,2.88
693,background,1.51
694,background,16.8
695,background,5.93
696,background,10.6
697,background,57.7
698,background,12.7
699,background,0.723
700,background,2.32
701,background,1.15
702,background,0.752
703,background,7.48
704,background,765.0
705,background,624.0
706,background,95.0
707,background,1.28
708,background,0.893
709,background,2.41
710,background,725.0
711,background,584.0
712,background,1.83
713,background,6.02
714,background,0.718
715,background,11.5
716,background,293.0
717,background,1.99
718,background,120.0
719,background,1051.0
720,background,798.0
721,background,125.0
722,background,6.94
723,background,15.3
724,background,151.0
725,background,0.568
726,background,17.5
727,background,1.38
728,background,4.91
729,background,29.0
730,background,140.0
731,background,0.469
732,background,5.46
733,background,1.37
734,background,1.97
735,background,0.924
736,background,1.09
737,background,2.52
738,background,1.15
739,background,0.67
740,background,2.8
741,background,6.01
742,background,13.7
743,background,0.768
744,background,744.0
745,background,0.306
746,background,0.781
747,background,88.2
748,background,6.02
749,background,520.0
750,background,0.652
751,background,1.22
752,background,0.856
753,background,0.621
754,background,1.41
755,background,76.9
756,background,1.86
757,background,0.707
758,background,8.92
759,background,1144.0
760,background,143.0
761,background,1.59
762,background,2.46
763,background,1.44
764,background,1.21
765,background,1.82
766,background,1.58
767,background,1.29
768,background,31.1
769,background,23.9
770,background,301.0
771,background,1459.0
772,background,2307.0
773,background,14.5
774,background,4.21
775,background,0.945
776,background,2.77
777,background,0.376
778,background,1.16
779,background,1.24
780,background,0.984
781,background,0.939
782,background,1598.0
783,background,71.9
784,background,0.297
785,background,9.1
786,background,33.7
787,background,3.05
788,background,0.684
789,background,2.78
790,background,3.36
791,background,1.12
792,background,0.511
793,background,544.0
794,background,391.0
795,background,0.056
796,background,30.1
797,background,43.6
798,background,304.0
799,background,0.243
800,background,0.522
801,background,1177.0
802,background,9.28
803,background,1.3
804,background,0.76
805,background,7.88
806,background,12.2
807,background,376.0
808,background,1.36
809,background,0.064
810,background,3.72
811,background,229.0
812,background,1.04
813,background,2.26
814,background,2.4
815,background,40.6
816,background,6848.0
817,background,0.788
818,background,16.3
819,background,0.606
820,background,10.9
821,background,488.0
822,background,35.8
823,background,0.553
824,background,3.61
825,background,177.0
826,background,289.0
827,background,1.3
828,background,31.1
829,background,2.09
830,background,2.61
831,background,172.0
832,background,1.02
833,background,1129.0
834,background,379.0
835,background,2674.0
836,background,4811.0
837,background,2300.0
838,background,1639.0
839,background,31.9
840,background,0.39
841,background,102.0
842,background,99.8
843,background,373.0
844,background,5.13
845,background,50.1
846,background,59.0
847,background,1737.0
848,background,211.0
849,background,604.0
850,background,780.0
851,background,129.0
852,background,1.13
853,background,68.5
854,background,12.8
855,background,1.06
856,background,50.7
857,background,96.5
858,background,4377.0
859,background,0.399
860,background,1.12
861,background,258.0
862,background,11.7
863,background,1.06
864,background,5.19
865,background,1.37
866,background,0.999
867,background,2.58
868,background,1.22
869,background,1.56
870,background,741.0
871,background,436.0
872,background,218.0
873,background,0.994
874,background,1.87
875,background,735.0
876,background,0.93
877,background,140.0
878,background,0.607
879,background,0.891
880,background,0.256
881,background,506.0
882,background,65.7
883,background,218.0
884,background,1.79
885,background,0.659
886,background,5.43
887,background,37.1
888,background,1.65
889,background,6.77
890,background,4.7
891,background,348.0
892,background,1.5
893,background,959.0
894,background,265.0
895,background,201.0
896,background,0.977
897,background,60.7
898,background,1.31
899,background,51.9
900,background,4.66
901,background,6.04
902,background,1.08
903,background,0.623
904,background,0.816
905,background,0.918
906,background,3.88
907,background,0.256
908,background,4.08
909,background,8.5
910,background,1.52
911,background,12.0
912,background,0.235
913,background,128.0
914,background,1.47
915,background,6.42
916,background,13.1
917,background,37.9
918,background,8.54
919,background,0.407
920,background,21.4
921,background,1.33
922,background,43.1
923,background,0.371
924,background,0.138
925,background,1195.0
926,background,0.768
927,background,2.76
928,background,93.6
929,background,1.12
930,background,440.0
931,background,271.0
932,background,0.243
933,background,1.11
934,background,55.0
935,background,1.3
936,background,1147.0
937,background,3331.0
938,background,4.24
939,background,149.0
940,background,1111.0
941,background,0.454
942,background,2.16
943,background,117.0
944,background,176.0
945,background,42.5
946,background,0.471
947,background,3.53
948,background,1.73
949,background,0.852
950,background,1.67
951,background,0.757
952,background,1.03
953,background,2.05
954,background,4.27
955,background,1.26
956,background,1.58
957,background,3.72
958,background,0.904
959,background,1416.0
960,background,3.83
961,background,0.803
962,background,3050.0
963,background,0.168
964,background,4.38
965,background,21.8
966,background,8.48
967,background,1230.0
968,background,0.989
969,background,43.8
970,background,238.0
971,background,0.22
972,background,1.04
973,background,3.57
974,background,126.0
975,background,18.7
976,background,304.0
977,background,2.16
978,background,16.9
979,background,336.0
980,background,5.57
981,background,0.644
982,background,11391.0
983,background,96.4
984,background,867.0
985,background,87.3
986,background,0.213
987,background,0.463
988,background,1.38
989,background,7.48
990,background,1.33
991,background,1.83
992,background,0.7
993,background,1.4
994,background,0.764
995,background,36.4
996,background,3.19
997,background,672.0
998,background,0.563
999,background,1.74
1000,background,526.0
1001,background,276.0
1002,background,1.52
1003,background,1.57
1004,background,1089.0
1005,background,0.859
1006,background,113.0
1007,background,0.586
1008,background,433.0
1009,background,3586.0
1010,background,0.191
1011,background,79.7
1012,background,1332.0
1013,background,1.05
1014,background,0.699
1015,background,1.72
1016,background,205.0
1017,background,173.0
1018,background,2626.0
1019,background,365.0
1020,background,243.0
1021,background,22.0
1022,background,2.56
1023,background,141.0
1024,background,0.279
1025,background,1.1
1026,background,4.0
1027,background,168.0
1028,background,61.6
1029,background,1.22
1030,background,3.69
1031,background,1.21
1032,background,81.0
1033,background,1.14
1034,background,89.3
1035,background,2.25
1036,background,0.374
1037,background,1.09
1038,background,0.12
1039,background,0.8
1040,background,75.4
1041,background,333.0
1042,background,0.918
1043,background,16.4
1044,background,5.17
1045,background,0.789
1046,background,278.0
1047,background,8.65
1048,background,1.65
1049,background,1.49
1050,background,1.71
1051,background,1124.0
1052,background,109.0
1053,background,4275.0
1054,background,181.0
1055,background,2.06
1056,background,2.69
1057,background,3035.0
1058,background,11.7
1059,background,0.264
1060,background,1.1
1061,background,0.566
1062,background,4.98
1063,background,225.0
1064,background,28.6
1065,background,360.0
1066,background,1.12
1067,background,29.6
1068,background,77.5
1069,background,1441.0
1070,background,8.5
1071,background,0.264
1072,background,446.0
1073,background,0.547
1074,background,0.528
1075,background,1.24
1076,background,1.03
1077,background,0.623
1078,background,334.0
1079,background,36.9
1080,background,0.227
1081,background,0.456
1082,background,0.543
1083,background,76.9
1084,background,0.751
1085,background,1.23
1086,background,0.472
1087,background,1221.0
1088,background,0.896
1089,background,0.658
1090,background,0.627
1091,background,1.82
1092,background,185.0
1093,background,5.8
1094,background,134.0
1095,background,0.347
1096,background,250.0
1097,background,1.18
1098,background,0.762
1099,background,0.646
1100,background,2.29
1101,background,1157.0
1102,background,1.85
1103,background,28.8
1104,background,1.4
1105,background,0.253
1106,background,150.0
1107,background,0.917
1108,background,1059.0
1109,background,0.979
1110,background,0.898
1111,background,75.3
1112,background,0.529
1113,background,0.904
1114,background,0.743
1115,background,1.82
1116,background,117.0
1117,background,161.0
1118,background,11.8
1119,background,385.0
1120,background,3.63
1121,background,62.5
1122,background,309.0
1123,background,12.2
1124,background,58.4
1125,background,1.04
1126,background,2.2
1127,background,1.63
1128,background,101.0
1129,background,75.0
1130,background,2.48
1131,background,203.0
1132,background,0.894
1133,background,261.0
1134,background,1.7
1135,background,9.53
1136,background,0.998
1137,background,0.353
1138,background,19.3
1139,background,0.956
1140,background,108.0
1141,background,46.8
1142,background,0.761
1143,background,76.1
1144,background,0.475
1145,background,0.959
1146,background,33.9
1147,background,59.4
1148,background,40.9
1149,background,0.353
1150,background,2.71
1151,background,1.38
1152,background,0.206
1153,background,240.0
1154,background,0.615
1155,background,10.2
1156,background,1558.0
1157,background,1.04
1158,background,1.49
1159,background,0.354
1160,background,2735.0
1161,background,39.1
1162,background,4.52
1163,background,1481.0
1164,background,1.77
1165,background,0.961
1166,background,1.54
1167,background,19.4
1168,background,36.2
1169,background,2.48
1170,background,0.76
1171,background,320.0
1172,background,2.8
1173,background,38.0
1174,background,951.0
1175,background,0.509
1176,background,0.829
1177,background,1.08
1178,background,41.2
1179,background,1405.0
1180,background,88.8
1181,background,1.22
1182,background,5.05
1183,background,116.0
1184,background,3.45
1185,background,146.0
1186,background,0.372
1187,background,317.0
1188,background,36.0
1189,background,1.53
1190,background,0.811
1191,background,0.92
1192,background,130.0
1193,background,3.05
1194,background,12.7
1195,background,2.08
1196,background,1.14
1197,background,1.26
1198,background,28.4
1199,background,0.244
1200,background,1.2
1201,background,1.34
1202,background,9.8
1203,background,32.5
1204,background,0.362
1205,background,0.057
1206,background,50.7
1207,background,0.104
1208,background,3.21
1209,background,172.0
1210,background,0.903
1211,background,0.814
1212,background,11.6
1213,background,399.0
1214,background,54.0
1215,background,497.0
1216,background,15.9
1217,background,15.2
1218,background,166.0
1219,background,0.493
1220,background,31.5
1221,background,4.39
1222,background,60.1
1223,background,2.71
1224,background,1.04
1225,background,175.0
1226,background,0.462
1227,background,135.0
1228,background,0.902
1229,background,645.0
1230,background,7.55
1231,background,1.94
1232,background,94.8
1233,background,75.3
1234,background,29.9
1235,background,54.6
1236,background,1.49
1237,background,22.7
1238,background,1.03
1239,background,93.3
1240,background,0.967
1241,background,0.415
1242,background,0.214
1243,background,1.82
1244,background,0.182
1245,background,0.966
1246,background,283.0
1247,background,1.19
1248,background,106.0
1249,background,0.453
1250,background,2117.0
1251,background,1.06
1252,background,15.7
1253,background,1.47
1254,background,59.1
1255,background,0.384
1256,background,603.0
1257,background,7.12
1258,background,2.91
1259,background,21.6
1260,background,5.54
1261,background,2.75
1262,background,1.34
1263,background,20.6
1264,background,10.3
1265,background,202.0
1266,background,0.352
1267,background,6.31
1268,background,2.97
1269,background,1.09
1270,background,9.68
1271,background,3.47
1272,background,4.29
1273,background,1.33
1274,background,1.0
1275,background,2.67
1276,background,6.33
1277,background,3.25
1278,background,0.373
1279,background,2.78
1280,background,0.643
1281,background,114.0
1282,background,104.0
1283,background,0.56
1284,background,2.71
1285,background,0.549
1286,background,0.793
1287,background,1.08
1288,background,23.4
1289,background,8.97
1290,background,2.93
1291,background,78.1
1292,background,0.924
1293,background,8.25
1294,background,0.352
1295,background,216.0
1296,background,1.5
1297,background,0.068
1298,background,3.86
1299,background,1.96
1300,background,10.1
1301,background,4.33
1302,background,4.01
1303,background,1.35
1304,background,0.47
1305,background,896.0
1306,background,5.89
1307,background,0.211
1308,background,16.4
1309,background,392.0
1310,background,142.0
1311,background,2.68
1312,background,189.0
1313,background,105.0
1314,background,131.0
1315,background,0.756
1316,background,975.0
1317,background,1.68
1318,background,3.39
1319,background,2.35
1320,background,0.92
1321,background,0.811
1322,background,16552.0
1323,background,11837.0
1324,background,0.699
1325,background,0.648
1326,background,1184.0
1327,background,0.836
1328,background,34.3
1329,background,28.0
1330,background,614.0
1331,background,1.37
1332,background,226.0
1333,background,0.976
1334,background,1.86
1335,background,1.91
1336,background,0.377
1337,background,0.685
1338,background,1.32
1339,background,38.3
1340,background,0.485
1341,background,7.95
1342,background,28.1
1343,background,14.6
1344,background,342.0
1345,background,18.7
1346,background,1.49
1347,background,2.9
1348,background,2.52
1349,background,219.0
1350,background,10.2
1351,background,0.572
1352,background,0.515
1353,background,78.0
1354,background,648.0
1355,background,670.0
1356,background,2104.0
1357,background,334.0
1358,background,42.9
1359,background,11.2
1360,background,0.845
1361,background,1162.0
1362,background,44.6
1363,background,49.8
1364,background,0.292
1365,background,1700.0
1366,background,141.0
1367,background,798.0
1368,background,15.8
1369,background,0.419
1370,background,72.5
1371,background,10.4
1372,background,27.3
1373,background,0.98
1374,background,253.0
1375,background,346.0
1376,background,0.46
1377,background,150.0
1378,background,167.0
1379,background,0.725
1380,background,8.15
1381,background,0.758
1382,background,3.38
1383,background,0.927
1384,background,0.796
1385,background,2.07
1386,background,50.5
1387,background,132.0
1388,background,889.0
1389,background,0.848
1390,background,1.22
1391,background,109.0
1392,background,0.447
1393,background,9.56
1394,background,5.13
1395,background,457.0
1396,background,0.337
1397,background,0.386
1398,background,1.5
1399,background,0.668
1400,background,25.1
1401,background,61.9
1402,background,1.3
1403,background,33.4
1404,background,24.5
1405,background,67.5
1406,background,0.828
1407,background,830.0
1408,background,27.4
1409,background,46.6
1410,background,13.9
1411,background,3.42
1412,background,599.0
1413,background,106.0
1414,background,47.2
1415,background,127.0
1416,background,40.8
1417,background,0.69
1418,background,747.0
1419,background,1243.0
1420,background,257.0
1421,background,1.06
1422,background,320.0
1423,background,1.02
1424,background,412.0
1425,background,76.9
1426,background,0.347
1427,background,0.19
1428,background,2748.0
1429,background,1.12
1430,background,4.54
1431,background,41.9
1432,background,72.0
1433,background,103.0
1434,background,349.0
1435,background,60.5
1436,background,128.0
1437,background,4.92
1438,background,6.21
1439,background,0.85
1440,background,14.9
1441,background,201.0
1442,background,1.69
1443,background,1.69
1444,background,23.3
1445,background,0.764
1446,background,0.398
1447,background,2.0
1448,background,3.2
1449,background,109.0
1450,background,15.4
1451,background,142.0
1452,background,3064.0
1453,background,1.5
1454,background,13.5
1455,background,60.3
1456,background,0.778
1457,background,1.02
1458,background,19.3
1459,background,1.42
1460,background,275.0
1461,background,57.0
1462,background,0.314
1463,background,0.852
1464,background,13.7
1465,background,0.265
1466,background,1763.0
1467,background,111.0
1468,background,3.49
1469,background,5.17
1470,background,0.502
1471,background,19.3
1472,background,2.27
1473,background,2.91
1474,background,17.3
1475,background,2.72
1476,background,1.45
1477,background,7.46
1478,background,17.2
1479,background,11.8
1480,background,1.25
1481,background,115.0
1482,background,0.275
1483,background,9.7
1484,background,181.0
1485,background,125.0
1486,background,1.64
1487,background,1.33
1488,background,553.0
1489,background,15.1
1490,background,0.709
1491,background,46.7
1492,background,26.8
1493,background,916.0
1494,background,324.0
1495,background,9.34
1496,background,683.0
1497,background,0.424
1498,background,174.0
1499,background,0.855
1500,background,4.07
1501,background,66.7
1502,background,380.0
1503,background,174.0
1504,background,511.0
1505,background,221.0
1506,background,296.0
1507,background,7.66
1508,background,1857.0
1509,background,0.818
1510,background,18.1
1511,background,8.86
1512,background,0.464
1513,background,1.79
1514,background,0.38
1515,background,212.0
1516,background,97.2
1517,background,564.0
1518,background,246.0
1519,background,0.846
1520,background,27.7
1521,background,284.0
1522,background,0.171
1523,background,3.21
1524,background,2.97
1525,background,435.0
1526,background,500.0
1527,background,130.0
1528,background,123.0
1529,background,1.79
1530,background,3.46
1531,background,1.63
1532,background,27.6
1533,background,689.0
1534,background,238.0
1535,background,412.0
1536,background,15.4
1537,background,45.1
1538,background,0.17
1539,background,1.92
1540,background,0.582
1541,background,0.839
1542,background,265.0
1543,background,0.796
1544,background,2194.0
1545,background,1300.0
1546,background,718.0
1547,background,4.38
1548,background,1.87
1549,background,21.1
1550,background,10.5
1551,background,0.385
1552,background,15.8
1553,background,18.1
1554,background,0.288
1555,background,0.062
1556,background,1.19
1557,background,3592.0
1558,background,0.401
1559,background,1.5
1560,background,3.1
1561,background,1.53
1562,background,527.0
1563,background,0.836
1564,background,851.0
1565,background,246.0
1566,background,0.404
1567,background,0.987
1568,background,4.09
1569,background,1246.0
1570,background,1.98
1571,background,0.351
1572,background,8.39
1573,background,2.36
1574,background,3518.0
1575,background,0.166
1576,background,0.909
1577,background,0.401
1578,background,5.26
1579,background,0.916
1580,background,1710.0
1581,background,753.0
1582,background,1.71
1583,background,1.27
1584,background,1.62
1585,background,1.75
1586,background,0.41
1587,background,1.11
1588,background,104.0
1589,background,0.463
1590,background,63.7
1591,background,44.8
1592,background,77.3
1593,background,85.2
1594,background,0.905
1595,background,1.01
1596,background,0.357
1597,background,353.0
1598,background,0.745
1599,background,1.91
1600,background,14.5
1601,background,240.0
1602,background,102.0
1603,background,1086.0
1604,background,2.16
1605,background,9.49
1606,background,14.1
1607,background,5.93
1608,background,1.7
1609,background,0.408
1610,background,171.0
1611,background,107.0
1612,background,2.13
1613,background,1.16
1614,background,1.87
1615,background,0.677
1616,background,3.71
1617,background,228.0
1618,background,5.37
1619,background,438.0
1620,background,1.02
1621,background,6.85
1622,background,6.67
1623,background,0.965
1624,background,1.03
1625,background,0.886
1626,background,2.94
1627,background,26.8
1628,background,3.45
1629,background,14.1
1630,background,91.7
1631,background,191.0
1632,background,237.0
1633,background,87.4
1634,background,0.428
1635,background,1512.0
1636,background,1.21
1637,background,1.17
1638,background,1.29
1639,background,3.17
1640,background,1.18
1641,background,0.737
1642,background,0.56
1643,background,493.0
1644,background,16.5
1645,background,0.839
1646,background,1.44
1647,background,27.0
1648,background,3.69
1649,background,16.1
1650,background,0.298
1651,background,1.15
1652,background,36.9
1653,background,1.69
1654,background,26.3
1655,background,11.3
