,gaps,mutualinformation,mutualinformation_std,shuffledmutualinformation
103,103,0.0017587825270491992,3.8101855620930064e-05,0.0010576664192557404
104,104,0.0019918000953614494,5.214112513800767e-05,0.0010898770277124096
105,105,0.001821034021327857,4.737692815381237e-05,0.001065864110678908
106,106,0.001687398712564949,3.2598257096353594e-05,0.001041749322842975
107,107,0.0019854742618463663,5.523726727288004e-05,0.0010809091691781675
108,108,0.0020098732663487084,4.4957453968861184e-05,0.0010885708444939683
109,109,0.0016481828171707811,3.498384077981823e-05,0.0010653528315084308
110,110,0.0016973270845989422,5.113535295589774e-05,0.0010652073027618207
111,111,0.003599195488134839,0.00013666569706497853,0.0010802200200524515
112,112,0.001531720091969946,3.347346401092889e-05,0.0010547179821873667
113,113,0.0018721157868935622,3.847052190602028e-05,0.0010784200133132325
114,114,0.0019268286209221702,4.6420737680171043e-05,0.001047375516627961
115,115,0.0018407759692563117,5.46294007829486e-05,0.0010531040225236063
116,116,0.0016904227716009403,5.53245767787175e-05,0.001060236254700901
117,117,0.0016603830830334446,4.716236719156408e-05,0.001082528199682319
118,118,0.0016933501148199796,3.383477088613054e-05,0.0010476507025759401
119,119,0.0016611149257229959,6.09522923107652e-05,0.0010279017687015778
120,120,0.0016568414774495676,4.7755465719186325e-05,0.0010524883418344638
121,121,0.001516427603413732,3.515493272589413e-05,0.0010840677656249735
122,122,0.0016433978876348686,4.7618291075463154e-05,0.00109194800387996
123,123,0.001608198869645194,4.234689751006644e-05,0.001053484548603201
124,124,0.0016026573953656868,4.6813696520092044e-05,0.001041529828848509
125,125,0.0015869324423431308,4.5272309436948303e-05,0.0010624952688188618
126,126,0.0015865169834727974,4.6598339968565374e-05,0.001048933220321618
127,127,0.0014979388656694726,3.263875989361494e-05,0.0010536233561656211
128,128,0.0016090792481218673,4.54312760196765e-05,0.001032835934832706
129,129,0.0014985934929219722,3.995137815461244e-05,0.0010677441205102273
130,130,0.00156181210608924,3.279300896146265e-05,0.0010579455594605886
131,131,0.0015834488968862288,5.0368281012031396e-05,0.0010340013848925311
132,132,0.0016316037205588356,4.6128266982949796e-05,0.0010219246343391097
133,133,0.001577029887901341,4.1023448849915816e-05,0.0010379915390184241
134,134,0.0015153026483441581,4.294689513211802e-05,0.0010246745087879605
135,135,0.0015662019595721194,3.610580679119087e-05,0.0010291928084088973
136,136,0.0017175565663423,4.5834901316047623e-05,0.0010534724395725172
137,137,0.0015335982510672615,3.9478728397891405e-05,0.0010324851500512686
138,138,0.0014410660610189219,3.210361339193659e-05,0.001046051445161585
139,139,0.003066046150657715,0.0001556017304186508,0.001060536906429009
140,140,0.0013951912130710847,4.2954548535720693e-05,0.0010410076048961302
141,141,0.0013559192020292361,3.247114111146074e-05,0.0010463139362911506
142,142,0.001584009876057709,4.0287226796544004e-05,0.001063584193095479
143,143,0.0017789956197791991,4.072661791532959e-05,0.0010534671959818672
144,144,0.0013923423688726923,3.08451690602661e-05,0.0010230423148614087
145,145,0.001513583096558613,4.1851047339243626e-05,0.0010070584551039338
146,146,0.0015917380524516711,4.5051576687843054e-05,0.0009784303287797452
147,147,0.0012717131627113984,2.9294159058910727e-05,0.0010302346278703016
148,148,0.0014110801116203528,3.074693266026646e-05,0.0010052895024463355
149,149,0.001546216824223719,3.858298789376913e-05,0.0010464101882464289
150,150,0.001330202251101784,3.715988595830851e-05,0.0010240769073637727
151,151,0.0013705697402136797,3.442641273749934e-05,0.0009989143484937422
152,152,0.0014540517238972918,3.726523134167674e-05,0.001042101587980245
153,153,0.001430898311400908,3.24183168383383e-05,0.0010258391157271212
154,154,0.001454576436090596,3.854016691168784e-05,0.0010248455401515966
155,155,0.001519672089380425,4.252365349877453e-05,0.0009920257343794504
156,156,0.0013091511581094057,2.9532798034801156e-05,0.0010535242906373986
157,157,0.0014277566639908877,4.951119375702716e-05,0.0009721606658134978
158,158,0.0014423212882977944,4.882012347578999e-05,0.0010142593581314327
159,159,0.0012318144663413376,3.6500915424118906e-05,0.000999133034625817
160,160,0.0014124162463352928,3.225898155925908e-05,0.0010170428651745263
161,161,0.0014912115261928188,5.8456550340816705e-05,0.0010117192938953056
162,162,0.0012945944241099393,7.711267239289111e-05,0.0009968873117621904
163,163,0.0014318992856658871,3.770157721285536e-05,0.001008422607897337
164,164,0.001652450431394058,6.495415176459045e-05,0.0010211448650673239
165,165,0.00131346134843266,4.52538051285338e-05,0.0009997738819850703
166,166,0.0012393898159177158,2.6544527149471425e-05,0.000973555438226261
167,167,0.002844793857425796,0.0001203918377795399,0.0010092052070117437
168,168,0.0012379807858869474,2.856345675515932e-05,0.000997285948560927
169,169,0.0012142020541204496,3.8776869365557316e-05,0.0009902956913868872
170,170,0.0015670037152844905,4.4928350169366486e-05,0.0010241860909440698
171,171,0.0014486594056654083,3.617161749796785e-05,0.0009939282209937774
172,172,0.0012255579148664735,3.215199261531781e-05,0.0009871027009056206
173,173,0.0014700193775232105,4.8118498631427586e-05,0.0009839153765094236
174,174,0.001470132199951779,4.263376204638708e-05,0.0010141971855890909
175,175,0.0012762952688785288,2.922788716450989e-05,0.0009575957213522914
176,176,0.0013925845520152105,4.463049235812168e-05,0.000990812046921596
177,177,0.0012082658579954575,3.127767603410689e-05,0.0010204252794378064
178,178,0.0012026131006949885,3.045916997047642e-05,0.00101848026294128
179,179,0.0013195390665989052,4.4854272956626344e-05,0.000982719390748933
180,180,0.0012895483294808408,3.292234630601768e-05,0.0010039718642101578
181,181,0.0013147950755043917,2.9338887852818564e-05,0.0010039157078452611
182,182,0.0014636955394413665,4.2001280531603914e-05,0.0009845274533178713
